id,hash,disasternumber,state,incidenttype,declarationdate,incidentbegindate,incidentenddate,declarationtype,lastrefresh,declaration_year,declaration_month,declaration_quarter,declaration_month_sin,declaration_month_cos,declaration_quarter_sin,declaration_quarter_cos,incident_duration_days,days_to_declaration,region,state_disaster_frequency,wind_speed,flood_severity,rainfall_intensity,incident_severity_score,is_fire,is_severe_storm,is_flood,is_hurricane,is_tornado,is_snowstorm,is_biological,is_severe_ice_storm,is_typhoon,is_drought,severity_x_duration,severity_x_frequency,duration_x_days_to_declaration,total_obligated_amount,project_count,avg_project_cost,max_project_cost,log_total_obligated_amount,region_encoded
66c1fa29-8d2b-4c41-b5a4-c25474cc6734,59a7f8d563edbdd071b07c0597e51687e87b93e1,1239,TX,Severe Storm,1998-08-26 00:00:00+00:00,1998-08-22 00:00:00+00:00,1998-08-31 00:00:00+00:00,DR,2024-08-27T18:22:14.800Z,1998,8,3,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,9.0,4.0,South,147,0,0,0,0.3,0,1,0,0,0,0,0,0,0,0,2.6999999999999997,44.1,36.0,7950369.84,276.0,28805.687826086956,1309005.45,15.88872913208348,3
40b8b6b7-5a96-4b5c-bce4-4bb89a07e654,8d9d8a883cfe62b0bfcdfa9af4e8550397f1b636,1257,TX,Flood,1998-10-21 00:00:00+00:00,1998-10-17 00:00:00+00:00,1998-11-15 00:00:00+00:00,DR,2024-08-27T18:22:14.800Z,1998,10,4,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,29.0,4.0,South,157,0,0,0,0.44999999999999996,0,0,1,0,0,0,0,0,0,0,13.049999999999999,70.64999999999999,116.0,32236796.13,1761.0,18305.960323679727,804284.0,17.288619126064724,3
b9cc5490-2884-4262-8be2-b0b6e15be7ba,e8be9d954aed2592027a140eef04aeed2844459e,3134,IL,Snowstorm,1999-01-08 00:00:00+00:00,1999-01-01 00:00:00+00:00,1999-01-15 00:00:00+00:00,EM,2024-08-27T18:22:14.800Z,1999,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,14.0,7.0,Midwest,35,0,0,0,0.15,0,0,0,0,0,1,0,0,0,0,2.1,5.25,98.0,29471448.12,1864.0,15810.86272532189,677268.0,17.198932526222958,0
dc402210-7729-4291-8c91-f92646ab0f27,6ca7f9668431be135d08db44e4959e0ffc91c290,1260,TN,Severe Storm,1999-01-15 00:00:00+00:00,1998-12-23 00:00:00+00:00,1998-12-29 00:00:00+00:00,DR,2024-08-27T18:22:14.800Z,1999,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,6.0,23.0,South,27,0,0,0,0.3,0,1,0,0,0,0,0,0,0,0,1.7999999999999998,8.1,138.0,9711200.78,210.0,46243.81323809524,687414.68,16.08879059985923,3
effe7215-bcb0-4d1c-8598-794b6b596434,1d7f6255b72ac45627f3957b6ca327019a2beee9,1261,AL,Severe Storm,1999-01-15 00:00:00+00:00,1998-12-23 00:00:00+00:00,1998-12-29 00:00:00+00:00,DR,2024-08-27T18:22:14.800Z,1999,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,6.0,23.0,South,40,0,0,0,0.3,0,1,0,0,0,0,0,0,0,0,1.7999999999999998,12.0,138.0,5498755.67,138.0,39846.05557971015,772826.25,15.520032564647286,3
f39ed4e3-33d8-440c-b6bf-c2edebafa557,9a442dd1f8ed73b5b3817dfa0b85cb6c9590124b,3135,IN,Snowstorm,1999-01-15 00:00:00+00:00,1999-01-01 00:00:00+00:00,1999-01-15 00:00:00+00:00,EM,2024-08-27T18:22:14.800Z,1999,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,14.0,14.0,Midwest,25,0,0,0,0.15,0,0,0,0,0,1,0,0,0,0,2.1,3.75,196.0,9434506.959999999,572.0,16493.893286713286,701716.0,16.05988458492146,0
200ff4b2-4f8a-4197-8580-4cf3eb6438c8,e043f19f1eb6614fdcd32043686cad4b28db18f2,3136,NY,Snowstorm,1999-01-15 00:00:00+00:00,1999-01-01 00:00:00+00:00,1999-01-15 00:00:00+00:00,EM,2024-08-27T18:22:14.800Z,1999,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,14.0,14.0,Northeast,45,0,0,0,0.15,0,0,0,0,0,1,0,0,0,0,2.1,6.75,196.0,4453679.06,407.0,10942.700393120393,747090.92,15.309241292158335,1
1884fe5b-8acf-4eb0-8cef-d4f02ff1674a,89e9f7201bf7248a681e51f70a91f48d1b9640e8,1262,TN,Severe Storm,1999-01-19 00:00:00+00:00,1999-01-17 00:00:00+00:00,1999-02-01 00:00:00+00:00,DR,2026-07-20T21:43:12.371Z,1999,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,15.0,2.0,South,28,0,0,0,0.3,0,1,0,0,0,0,0,0,0,0,4.5,8.4,30.0,14973702.74,267.0,56081.28367041198,3104475.92,16.521806136616444,3
4a2d2134-9983-4d98-b8b7-b97cf46eda71,71b570f144bbb76c1f05b3ef4928a63475dd14ef,1264,LA,Severe Storm,1999-01-21 00:00:00+00:00,1998-12-22 00:00:00+00:00,1998-12-28 00:00:00+00:00,DR,2024-08-27T18:22:14.800Z,1999,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,6.0,30.0,South,42,0,0,0,0.3,0,1,0,0,0,0,0,0,0,0,1.7999999999999998,12.6,180.0,2910386.64,92.0,31634.63739130435,531723.36,14.883796839898055,3
06620dac-393e-44d0-9e37-6bb9de85fbd8,7ebd17e991aa768d3390c20f3aa94b0905123aef,1266,AR,Severe Storm,1999-01-23 00:00:00+00:00,1999-01-21 00:00:00+00:00,1999-01-31 00:00:00+00:00,DR,2026-07-20T21:43:12.371Z,1999,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,10.0,2.0,South,37,0,0,0,0.3,0,1,0,0,0,0,0,0,0,0,3.0,11.1,20.0,7021560.22,312.0,22505.000705128205,475333.42,15.764496147287064,3
