,count,mean,std,min,25%,50%,75%,90%,95%,max,skewness,kurtosis
disasternumber,1766.0,3217.5311438278595,1323.2318744827287,1239.0,1755.25,3558.0,4429.75,4705.5,4803.75,4899.0,-0.25397496472431436,-1.670178621000212
fydeclared,0.0,,,,,,,,,,,
declaration_year,1766.0,2012.2950169875426,7.6608454532904755,1998.0,2006.0,2011.0,2020.0,2023.0,2024.0,2026.0,0.009534305512585144,-1.213589350067974
declaration_month,1766.0,6.2916194790486974,3.1166932400498117,1.0,4.0,6.0,9.0,10.0,11.0,12.0,-0.014090658449387098,-1.0855279805285445
declaration_quarter,1766.0,2.413929784824462,1.0239116594146032,1.0,2.0,2.0,3.0,4.0,4.0,4.0,0.0063003258070768375,-1.1497407461544404
incident_duration_days,1766.0,68.06115515288788,246.1051059407537,0.0,2.0,7.0,22.0,53.5,155.75,1207.0,4.3730875878379445,17.33830957199845
days_to_declaration,1766.0,41.56398640996603,35.35441175202646,0.0,12.0,36.0,63.0,82.0,100.0,433.0,1.8448374292117935,10.20474077388923
state_disaster_frequency,1766.0,109.87938844847112,83.12173846203875,17.0,64.0,85.0,110.0,212.0,386.0,392.0,2.269775542146342,4.725032564782197
incident_severity_score,1766.0,3.402604756511891,0.9379466507295372,1.0,3.0,3.0,4.0,5.0,5.0,5.0,0.08545988496627986,0.12279374214110828
is_fire,1766.0,0.03227633069082673,0.17678310385248458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.297496854051161,26.093022075729493
is_severe_storm,1766.0,0.46772366930917325,0.49909847856256695,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.12948516798981688,-1.9854834416226324
is_flood,1766.0,0.1291053227633069,0.3354114520385686,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.2140877449889045,2.905473718543601
is_hurricane,1766.0,0.14439411098527746,0.3515884647631873,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.025146476489635,2.1035993016417875
is_tornado,1766.0,0.021517553793884484,0.1451429557208081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.600732924746183,41.61680504031563
is_snowstorm,1766.0,0.05719139297848245,0.2322737338299224,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.8171398055793686,12.584807351149287
is_biological,1766.0,0.044167610419026046,0.20552554949258742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.440802688287328,17.74081877339115
is_severe_ice_storm,1766.0,0.03001132502831257,0.17066674744035337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.513921710080712,28.43553468581238
is_typhoon,1766.0,0.011325028312570781,0.10584477231534135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.244273746194276,83.55121786278502
is_drought,1766.0,0.0005662514156285391,0.023796037813647444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0238027789014,1766.0000000000005
total_obligated_amount,1766.0,157076152.46328995,1323992414.9456053,3194.36,3304738.0974999997,8956956.055,30162988.7825,105562410.275,322975831.7825,36337952361.25,18.200813251773592,401.2507461167042
project_count,1766.0,458.57984144960363,970.6847914968384,1.0,56.0,162.5,467.0,1126.5,1646.5,13836.0,6.397744149670704,57.32575746223882
avg_project_cost,1766.0,233139.89975490124,790347.1285837289,3194.36,26155.77673778953,57761.8139516129,149273.53360744324,432250.7174127335,944799.6970842029,19594381.882895205,12.53066601824943,241.12992543800834
max_project_cost,1766.0,24346859.64006795,230104448.36470374,3194.36,490657.8275,1301395.42,4273409.675,19357731.595,55965222.917500004,8156161559.68,27.227123206761405,904.8772134670679
log_total_obligated_amount,1766.0,16.13026384437461,1.9826778784527825,8.069455036520504,15.010868059131983,16.007936924521722,17.22212402378095,18.47478435611012,19.59307824796656,24.316128551663446,0.21899023362407452,1.6692475710148247
region_encoded,1766.0,2.0877689694224237,1.486367858444636,0.0,1.0,3.0,3.0,4.0,4.0,4.0,-0.2523471816701316,-1.4791236199197528
