feature,importance,importance_pct
days_to_declaration,0.24902469303154692,24.9
incident_duration_days,0.23178456925429075,23.18
declaration_year,0.16197277172862815,16.2
state_disaster_frequency,0.13541360263609217,13.54
declaration_month,0.06123982800543373,6.12
region_encoded,0.03906372539699249,3.91
is_biological,0.03235498732724921,3.24
incident_severity_score,0.023395545096802396,2.34
is_hurricane,0.019574143780789432,1.96
declaration_quarter,0.015110757509508767,1.51
is_severe_storm,0.01271488118040093,1.27
is_fire,0.0077392375292951,0.77
is_flood,0.0041859748879397515,0.42
is_severe_ice_storm,0.003563339029085172,0.36
is_tornado,0.0019198168678433909,0.19
is_snowstorm,0.0007009842725972164,0.07
is_typhoon,0.0002411424655044091,0.02
is_drought,0.0,0.0
